,0
0,2.5632829192545614e-12
1,5.526663313721438e-12
2,1.860967905565944e-12
3,1.8621855074912162e-12
4,1.7173987347625035e-12
5,2.980438799323549e-12
6,2.2912188536845074e-12
7,7.081486404380236e-12
8,1.1443614958343576e-11
9,7.981993319815751e-12
10,1.3833011932652696e-12
11,2.92396164434215e-12
12,5.172447954476024e-12
13,1.1642911847660434e-12
14,2.713947423577752e-12
15,5.459709990646786e-12
16,9.480501727654746e-12
17,4.257696697028083e-12
18,2.0942494634028886e-12
19,2.6934415714579678e-12
20,2.1833657091463406e-12
21,3.920014303619174e-12
22,1.7321281158116119e-12
23,2.2177850952004626e-12
24,2.1274007021287735e-12
25,9.718688907669083e-12
26,6.601739271206484e-12
27,3.1249792206669774e-12
28,4.1210195057274775e-13
29,6.484470932282076e-12
30,8.858304719886303e-12
31,4.792932983904938e-12
32,2.118668846660377e-12
33,2.919518760836243e-12
34,1.4616972843090524e-12
35,3.696673904812469e-12
36,1.1461137867352927e-11
37,4.651505738827104e-12
38,4.387553086366899e-12
39,6.284219614310077e-12
40,8.244442891131394e-12
41,4.417445307470889e-12
42,2.2551204830342604e-12
43,2.921529969935244e-12
44,1.3379286291157787e-12
45,1.4652886749593794e-12
46,3.503812158102837e-12
47,4.442819824594788e-12
48,5.208176347663929e-12
49,6.155890925547849e-12
50,4.534796561164325e-12
51,1.6575357483970966e-12
52,6.655651671127387e-12
53,2.6121569125103093e-13
54,1.0029398362900631e-11
55,5.750853029615215e-12
56,1.1922135267052878e-11
57,5.941216400342499e-12
58,3.4070439691603236e-12
59,1.8024173369604652e-11
60,1.7487836139420585e-11
61,1.616238171438283e-11
62,1.106820058462963e-11
63,1.0970820292093259e-11
64,1.3036557247625708e-11
65,1.889281116897882e-12
66,1.444916489394375e-11
67,2.298116817077334e-12
68,6.171202479578776e-12
69,1.2117726027130308e-11
70,1.1385798121276985e-12
71,1.2376134874538804e-11
72,3.837320142335748e-12
73,7.97644692527045e-12
74,1.64652793274918e-12
75,2.0978327587065434e-12
76,2.9157596132738152e-12
77,5.638749173481623e-12
78,2.4322635407537432e-12
79,4.173235514377321e-12
80,5.6139736519739965e-12
81,3.1810681181916575e-13
82,1.8758912116704553e-12
83,3.3969576200056425e-12
84,2.441320855156455e-12
85,1.5467933007739963e-12
86,6.436024982025893e-12
87,7.37546045444408e-12
88,4.74087185254486e-12
89,5.8482333246082725e-12
90,3.440873305902439e-12
91,3.6524289666489e-12
92,6.401437789743803e-12
93,9.415104243554401e-12
94,1.253995260217489e-11
95,7.209005765982349e-12
96,5.811396961054255e-12
97,4.314997835893206e-12
98,3.786793884838841e-12
99,2.9632443365534254e-12
100,4.480087443561347e-12
101,2.364301614283112e-12
102,6.307005862010922e-12
103,2.901451471531469e-12
104,9.76831801465229e-13
105,6.537360385582362e-12
106,2.493233446000553e-12
107,2.340562342161208e-12
108,1.4438480581758134e-12
109,4.758092424930426e-12
110,2.915667395763287e-12
111,4.62709636661838e-12
112,8.344360222985581e-13
113,1.1536697765095038e-12
114,1.2805576974110982e-12
115,1.892774353499817e-12
116,1.3005865368254692e-12
117,1.2624300104905438e-13
118,4.189667834563801e-12
119,2.4626868192767137e-13
120,1.733460902851302e-12
121,3.56749736139974e-12
122,4.8765573527554784e-12
123,1.4710651080969125e-12
124,4.708329499585601e-12
125,9.32243140214695e-12
126,1.1058923776908446e-12
127,8.109996886819832e-13
128,2.802647715589694e-12
129,5.545490882185673e-12
130,7.42059142790827e-12
131,4.632168444519306e-12
132,1.615165132601462e-12
133,1.4081034601046302e-12
134,1.902783536092213e-12
135,5.346483437754491e-12
136,7.401154284175278e-12
137,4.770405411051224e-12
138,4.573364465259018e-12
139,3.253893229076872e-12
140,4.346722656365007e-12
141,1.825359866201528e-12
142,2.3382507207166472e-12
143,3.3071683988977623e-12
144,3.4762827647780887e-12
145,2.510116260156526e-12
146,4.951780297718805e-12
147,4.784366414749614e-12
148,1.26647918904861e-12
149,3.2062173003740812e-12
150,9.243039431790051e-13
151,2.493654862342978e-12
152,6.811181371599976e-12
153,6.376883940139106e-13
154,2.4927103556362455e-12
155,1.904101924466434e-12
156,1.4387271946831715e-12
157,4.420401394492657e-12
158,8.929485462374391e-12
159,3.312370735893012e-12
160,3.844256892726525e-12
161,1.5589300218349213e-12
162,1.0626728916067415e-11
163,5.005600215499462e-12
164,3.1150656977777558e-12
165,2.5737698730264296e-12
166,5.6717403092562686e-12
167,4.7379289024397445e-12
168,3.682266382059548e-12
169,1.2236591580611823e-11
170,2.9673953483805264e-12
171,1.5718877771672302e-11
172,5.606943767877604e-12
173,1.0946099808133496e-11
174,4.054988423811971e-12
175,5.11343419591737e-12
176,2.5997761660080324e-12
177,4.424620723397719e-12
178,2.593979156404056e-12
179,2.5678353549817363e-12
180,4.187095518259977e-12
181,2.637832036784306e-12
182,5.296255462620098e-13
183,4.439634759526718e-12
184,4.178431689377646e-12
185,2.071318338385398e-13
186,2.294231572936438e-12
187,5.4566530661523735e-12
188,5.9378812556676025e-12
189,3.902669600321503e-12
190,4.388714363955255e-13
191,4.038773670644329e-12
192,3.1152225602796194e-12
193,2.5405245762207635e-12
194,5.850316938600597e-12
195,5.986033817869103e-12
196,6.886237563651838e-12
197,3.4675601844403085e-12
198,5.232220562887067e-12
199,2.131995329817782e-12
200,2.0474432227139315e-12
201,3.783073171180074e-12
202,2.3899685447889493e-12
203,2.3860632420333955e-12
204,3.7702665599247075e-12
205,4.536681387451537e-12
206,4.044672870594414e-12
207,8.538649550515974e-13
208,2.6591517431947498e-12
209,1.568142296537982e-12
210,7.854268257229366e-12
211,9.875417146130724e-12
212,1.5406678743206277e-11
213,1.544867454513025e-11
214,2.1064767135155058e-11
215,2.4143218027402445e-11
216,1.3854646390160685e-11
217,9.658234239345685e-12
218,9.652317781778157e-12
219,5.674353417419603e-12
220,3.979127501673498e-12
221,2.6738683804641823e-12
222,4.9758813844218085e-12
223,1.751585942763487e-12
224,4.065586488433233e-12
225,3.9334326592973215e-12
226,3.903043160038717e-12
227,3.5001254404915348e-12
228,9.052650987965627e-13
229,4.368296909390803e-12
230,5.689525862833276e-13
231,3.3835863389800176e-12
232,5.7409429627430615e-12
233,9.289712876461055e-12
234,9.197611293807484e-12
235,9.592471165517483e-12
236,4.545590468638358e-12
237,2.5543414132159097e-12
238,7.163967898308729e-12
239,6.206081838060963e-12
240,8.168120267817359e-12
241,5.728414578931335e-12
242,1.1553844709863031e-11
243,4.826239915080703e-12
244,6.486701979492771e-12
245,3.529311932047809e-12
246,5.880972028789045e-12
247,1.4932539659603659e-12
248,6.317550730514231e-12
249,1.085323182342547e-11
250,8.297651675648794e-12
251,4.6796648456240456e-12
252,2.4448488007639543e-12
253,7.098385801867724e-12
254,1.4344993317668136e-12
255,7.425964995335029e-12
256,1.2090939354624712e-11
257,6.134745573186635e-12
258,5.755520130940506e-12
259,4.701470715362085e-12
260,4.383650270771265e-12
261,5.048596295886861e-12
262,1.381903278373106e-12
263,1.1574611700808823e-11
264,1.4915149241116017e-11
265,9.691195786549521e-12
266,1.1132407802108803e-11
267,1.953088250859321e-11
268,1.3699673737684606e-11
269,2.9229248818374768e-12
270,8.685430603197507e-12
271,8.363002418114362e-12
272,1.6702658494298575e-11
273,7.754540732950192e-12
274,4.8990615104242924e-12
275,4.686857202530911e-12
276,1.4509490712129473e-12
277,4.984252537057634e-12
278,1.1817197053155932e-12
279,9.458984460947734e-12
280,1.2254559150440774e-11
281,9.24501082629637e-12
282,2.0896096936645254e-12
283,4.067708331043308e-12
284,1.9427210640980405e-12
285,5.7531993503737174e-12
286,5.559705648548844e-12
287,2.217746877837367e-11
288,1.5919024167771532e-11
289,2.853029645575053e-12
290,9.779903778842116e-12
291,5.211594695020411e-12
292,3.776213955377158e-12
293,1.2022846205241702e-11
294,4.735232345114786e-12
295,1.6082434573134292e-11
296,9.640522749172847e-12
297,5.914089533029684e-12
298,1.0483474179628819e-11
299,6.340908975567792e-12
300,1.8602489883590797e-12
301,3.8609946595615786e-12
302,2.6675411344253988e-12
303,2.4817794715609833e-12
304,8.161618560304946e-12
305,2.3168677551588277e-12
306,1.780206983613265e-12
307,3.959295255735149e-12
308,1.5507302989198008e-12
309,5.285711629916958e-12
310,1.9010913767814416e-12
311,5.712642301350094e-12
312,4.144320834174047e-12
313,5.304391536937159e-12
314,6.1940010762359996e-12
315,1.0669616805558019e-12
316,3.3198187837212933e-13
317,5.233147061385443e-12
318,1.9891231269046513e-12
319,2.387838373840736e-12
320,3.342505869882464e-12
321,3.0303616197281907e-12
322,5.5245869367273295e-12
323,2.6278218439625734e-12
324,3.2348515096401864e-12
325,2.3036218085300622e-12
326,4.235560674089415e-12
327,4.39419272709129e-12
328,2.3863802441535285e-12
329,1.5963271069786577e-12
330,3.637609468105586e-12
331,1.0579340162918346e-11
332,6.22831365803863e-12
333,7.781828532874634e-12
334,2.3365753719399218e-11
335,2.945694625954237e-11
336,2.969445350264312e-11
337,1.2690738630601532e-11
338,4.2763976828404945e-12
339,8.232396662458586e-12
340,5.106102035707202e-13
341,2.296023912501111e-12
342,4.740603718683417e-12
343,7.085121667884844e-12
344,9.976431914988657e-12
345,4.080936754679536e-12
346,5.567889472704396e-12
347,1.67183269655641e-12
348,7.0881736844424135e-12
349,8.680104401076978e-12
350,8.185231059294755e-12
351,2.1425254992813424e-12
352,8.399925243056239e-12
353,4.709871410043226e-12
354,3.7464477242526936e-12
355,2.9965595486675026e-12
356,2.0858876062868064e-12
357,9.857799425700495e-13
358,8.182661501410087e-12
359,2.581072157682027e-12
360,2.1906047332247463e-11
361,2.464011020629267e-11
362,1.4068027503096557e-11
363,5.770925334383522e-12
364,1.7453557753756187e-12
365,9.853802932917235e-13
366,2.402909082922113e-12
367,3.661885883200974e-12
368,6.6352124603643895e-12
369,2.702241459808777e-12
370,6.230007754394477e-12
371,8.828758588796757e-13
372,3.2980110086068346e-12
373,8.872683422561882e-12
374,1.7756304897729787e-12
375,1.2967345858460416e-11
376,4.531639563458192e-12
377,6.2971705080566465e-12
378,3.910644867382868e-12
